index,Order ID,Date,Status,Fulfilment,Sales Channel,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,fulfilled-by
1,ORD100001,2024-05-03 05:56:33,Pending,Amazon,Online,Standard,Ethnic,SKU4581,Footwear,L,B066699,In Transit,4,INR,2622.32,Clementsport,Connecticut,54345,USA,PROMO10,Yes,Seller
2,ORD100002,2024-04-08 23:19:27,Pending,Amazon,Offline,Expedited,Formal,SKU9988,Accessories,M,B062049,Delivered,2,USD,4286.46,West Debbiehaven,West Virginia,58291,India,PROMO30,Yes,Seller
3,ORD100003,2024-12-19 11:50:14,Shipped,Merchant,Offline,Same Day,Sports,SKU5146,Footwear,S,B069447,Delayed,3,INR,2858.96,Lyonsfurt,Florida,26875,USA,PROMO10,No,Amazon
4,ORD100004,2023-12-05 05:10:05,Shipped,Amazon,Online,Standard,Casual,SKU9221,Footwear,S,B025078,Returned,2,USD,4985.89,Port Sandratown,Kansas,03293,India,PROMO20,Yes,Seller
5,ORD100005,2024-06-10 09:09:52,Pending,Amazon,Online,Standard,Formal,SKU2216,Clothing,XXL,B042873,Delayed,5,USD,479.85,Quinnhaven,North Carolina,32793,USA,PROMO10,Yes,Seller
6,ORD100006,2023-11-16 07:53:27,Cancelled,Merchant,Offline,Standard,Ethnic,SKU4795,Clothing,XXL,B085439,Returned,2,USD,3186.2,Port Laura,Indiana,03188,India,,No,Seller
7,ORD100007,2025-04-05 12:09:59,Cancelled,Amazon,Online,Same Day,Formal,SKU8896,Electronics,S,B023906,Delayed,1,USD,2276.61,New Vincentmouth,South Carolina,43457,India,PROMO20,No,Amazon
8,ORD100008,2023-11-07 01:14:33,Pending,Merchant,Offline,Standard,Formal,SKU6886,Footwear,XXL,B024391,Delayed,1,INR,1697.94,Edwardfurt,Texas,72348,India,PROMO30,No,Amazon
9,ORD100009,2023-09-29 22:32:58,Cancelled,Merchant,Online,Standard,Ethnic,SKU9948,Clothing,L,B049857,Delayed,5,USD,3477.03,New Jacqueline,Virginia,57878,USA,PROMO30,No,Seller
10,ORD100010,2023-09-26 15:24:18,Cancelled,Amazon,Online,Standard,Sports,SKU5639,Accessories,XXL,B090629,In Transit,2,INR,4691.55,Bradleymouth,Maryland,25922,USA,PROMO20,Yes,Seller
11,ORD100011,2024-05-25 11:06:27,Cancelled,Merchant,Online,Standard,Sports,SKU8756,Footwear,S,B085701,Returned,3,INR,2478.45,Jonville,Virginia,88419,USA,PROMO20,No,Seller
12,ORD100012,2023-08-12 14:24:11,Pending,Amazon,Online,Standard,Casual,SKU1835,Accessories,XL,B020353,Delayed,5,INR,501.57,North Dawnport,Florida,62087,USA,,Yes,Seller
13,ORD100013,2024-08-07 23:09:38,Shipped,Merchant,Offline,Expedited,Ethnic,SKU6144,Clothing,XXL,B083647,In Transit,2,USD,4684.17,Williamberg,South Carolina,61281,USA,PROMO20,No,Seller
14,ORD100014,2024-04-08 07:47:30,Shipped,Amazon,Offline,Standard,Casual,SKU9838,Electronics,XL,B046423,Delayed,1,INR,4827.27,Grahamberg,Iowa,47469,USA,,No,Seller
15,ORD100015,2024-01-22 10:26:11,Pending,Amazon,Online,Same Day,Ethnic,SKU5258,Footwear,XXL,B076903,Returned,2,USD,1304.92,South Jasonland,Montana,14057,USA,PROMO20,Yes,Amazon
16,ORD100016,2023-08-07 13:47:28,Cancelled,Amazon,Online,Expedited,Sports,SKU4037,Accessories,S,B073392,In Transit,3,USD,4852.13,South Mitchellchester,Indiana,65738,India,PROMO30,Yes,Amazon
17,ORD100017,2024-04-10 00:47:32,Cancelled,Merchant,Offline,Standard,Sports,SKU9569,Clothing,XXL,B012455,In Transit,3,INR,4712.26,Stephaniemouth,Delaware,14439,USA,,Yes,Seller
18,ORD100018,2023-11-13 03:04:34,Cancelled,Amazon,Online,Expedited,Formal,SKU8747,Footwear,L,B054634,Delivered,4,INR,765.97,East Sandrafurt,Louisiana,66259,USA,,No,Seller
19,ORD100019,2025-02-05 20:25:54,Cancelled,Amazon,Offline,Standard,Casual,SKU9513,Footwear,XXL,B043753,Delivered,4,USD,369.75,Jimenezland,Pennsylvania,94238,USA,PROMO10,Yes,Amazon
20,ORD100020,2025-03-30 18:40:21,Cancelled,Merchant,Offline,Same Day,Sports,SKU5084,Footwear,M,B045694,Delivered,1,USD,3306.01,West James,Colorado,43049,India,PROMO30,Yes,Seller
21,ORD100021,2023-07-21 23:48:08,Pending,Merchant,Online,Expedited,Casual,SKU8252,Electronics,S,B038851,Returned,1,INR,3345.05,North Randychester,Missouri,37804,India,,Yes,Amazon
22,ORD100022,2024-02-03 05:42:05,Cancelled,Merchant,Offline,Expedited,Casual,SKU5870,Footwear,XXL,B058053,Delayed,2,USD,966.61,Lake Andrew,Vermont,70315,USA,PROMO10,No,Seller
23,ORD100023,2025-02-01 04:27:02,Pending,Merchant,Offline,Same Day,Sports,SKU9718,Footwear,XXL,B057971,Delayed,4,INR,2765.11,Schmidtfurt,New York,06528,India,PROMO30,Yes,Amazon
